artista,brano,spotify_popularity
Angelina Mango,La noia,0
Annalisa,Sinceramente,0
Alessandra Amoroso,Fino a qui,0
Diodato,Ti muovi,0
Emma,Apnea,0
Francesco Gabbani,Eternamente ora,0
Giorgia,Parole dette male,0
Irama,Tu no,0
Mahmood,Tuta gold,0
Marco Mengoni,Due vite,0
Rosa Chemical,Made in Italy,0
The Kolors,Un ragazzo una ragazza,0
Tananai,Casanova,
Ultimo,Alba,0
Vasco Rossi,Come vorrei,0
Achille Lauro,Marilù,0
Arisa,Fammi respirare,
Blanco,Brividi,0
Elodie,Due,0
Fedez,La dolce vita,51
Francesco Renga,Quando troverò,
Gianluca Grignani,Quando ti manca il fiato,0
Giusy Ferreri,Novembre,0
Loredana Bertè,Pazza,0
Maneskin,Il ballo della vita,
Mara Sattei,Duemilaminuti,0
Michele Bravi,Il diario degli errori,0
Noemi,Glicine,0
Pinguini Tattici Nucleari,Ringo Starr,0
Rkomi,Insuperabile,0
